iter	MAE	RMSE
0	10323399.25	16224643.52
1	10076375	15777135.34
2	9800166.236	15404070.6
3	9517531.478	14977167.2
4	9230508.971	14592627.44
5	9038907.894	14275154.38
6	8783098.471	13895010.3
7	8567567.425	13630534.99
8	8398120.784	13402867.05
9	8191604.42	13196605.93
10	8002192.776	12989965.5
11	7819634.25	12711067.6
12	7631503.929	12446192.31
13	7483077.904	12217856.25
14	7349492.684	12058611.33
15	7161223.554	11812793.84
16	7034586.111	11691790.78
17	6884706.042	11444010.64
18	6758363.687	11276853.27
19	6597604.906	10996592.12
20	6428686.57	10678709.99
21	6291951.266	10496775.31
22	6144334.418	10211680.07
23	5991064.357	9967334.653
24	5847477.473	9812225.53
25	5735494.227	9575543.834
26	5609229.019	9399670.108
27	5479548.457	9244931.542
28	5398335.991	9101671.034
29	5314176.547	8993723.75
30	5200493.694	8847158.913
31	5134969.027	8734307.61
32	5023378.433	8519675.57
33	4926315.783	8328090.481
34	4822443.314	8095901.169
35	4737015.827	7915220.337
36	4659635.976	7758522.992
37	4605981.923	7682152.445
38	4524870.668	7523690.692
39	4414941.504	7298485.851
40	4334748.204	7135362.692
41	4243741.462	6953787.577
42	4180829.162	6868677.22
43	4117473.602	6763052.835
44	4047725.11	6586815.474
45	3940818.433	6391057.329
46	3874517.422	6246100.622
47	3793302.536	6119357.086
48	3748334.244	6008412.717
49	3685920.696	5886180.323
50	3632433.405	5788289.868
51	3584243.913	5707928.506
52	3533426.457	5615681.912
53	3480486.196	5509487.011
54	3434641.745	5431884.886
55	3396676.658	5372103.332
56	3349681.291	5276622.903
57	3289212.91	5172355.589
58	3251841.769	5098413.348
59	3196348.768	5001772.79
60	3146535.684	4895816.496
61	3123432.718	4859062.917
62	3083767.948	4799663.682
63	3055775.561	4767972.294
64	3007189.589	4690631.395
65	2968890.336	4611214.771
66	2927729.723	4526409.24
67	2880493.168	4434153.43
68	2838390.864	4337710.423
69	2799657.281	4288295.183
70	2759380.211	4231982.82
71	2734267.113	4200303.543
72	2707303.779	4151681.966
73	2673392.141	4067012.76
74	2641883.007	4014739.349
75	2598521.961	3924785.82
76	2565278.058	3872984.264
77	2535648.006	3829628.296
78	2509106.167	3791030.24
79	2467678.369	3711252.016
80	2440628.948	3652953.425
81	2403505.04	3577359.851
82	2365409.349	3515850.676
83	2329485.182	3463643.738
84	2294500.737	3390886.256
85	2261118.632	3339400.719
86	2242164.326	3298692.266
87	2219071.06	3252926.709
88	2196537.462	3219870.421
89	2174197.187	3192866.618
90	2151096.142	3145969.239
91	2126306.298	3114196.051
92	2104566.19	3068424.487
93	2085961.512	3037139.66
94	2064387.097	2984907.648
95	2047472.411	2965491.787
96	2026110.969	2936199.839
97	2009485.902	2915473.288
98	1990525.372	2880840.154
99	1968787.129	2844946.547
100	1954804.573	2817134.605
101	1935062.633	2769636.698
102	1914195.094	2743968.013
103	1897728.451	2729030.144
104	1882693.456	2703239.75
105	1868634.984	2680810.484
106	1851287.494	2641269.486
107	1828697.594	2609964.034
108	1807244.349	2569741.016
109	1791744.851	2538393.689
110	1775418.398	2505564.961
111	1764190.108	2492481.007
112	1745298.23	2457392.627
113	1725880.868	2426031.745
114	1706871.055	2390867.317
115	1692987.149	2358319.425
116	1683806.498	2345908.52
117	1665832.975	2316753
118	1642393.011	2271875.202
119	1618588.921	2227915.601
120	1599803.93	2200974.29
121	1581113.441	2174431.489
122	1564520.282	2153987.21
123	1548996.612	2127383.793
124	1538158.613	2107812.299
125	1529016.129	2090513.597
126	1516821.472	2073315.762
127	1505941.915	2058270.605
128	1485172.615	2031531.951
129	1479406.804	2017755.273
130	1466747.102	2000851.285
131	1455136.026	1988271.182
132	1434722.35	1955346.187
133	1420419.912	1937310.947
134	1411950.888	1925804.095
135	1397854.728	1903299.522
136	1393510.879	1896946.678
137	1377977.494	1880565.629
138	1365017.218	1864601.155
139	1347738.799	1836920.57
140	1339968.225	1825219.802
141	1325291.526	1802485.526
142	1315900.412	1792337.542
143	1302258.264	1765444.461
144	1286516.766	1736684.061
145	1278209.782	1725532.052
146	1262221.831	1710440.814
147	1244621.961	1690909.213
148	1231553.177	1675861.167
149	1223722.69	1667821.63
150	1211432.52	1649807.208
151	1204021.106	1642218.174
152	1190726.639	1621990.192
153	1180478.556	1609558.528
154	1172179.566	1599256.01
155	1164977.421	1589876.115
156	1149307.392	1571109.384
157	1134127.568	1546659.002
