iter	Passed	Remaining
0	142	426071
1	163	245674
2	196	196115
3	234	175493
4	254	152584
5	274	136863
6	292	125137
7	312	116735
8	332	110340
9	354	105986
10	374	101892
11	395	98431
12	412	94816
13	433	92424
14	452	90051
15	473	88235
16	493	86518
17	513	85066
18	532	83617
19	548	81755
20	567	80456
21	586	79400
22	606	78453
23	626	77651
24	645	76857
25	664	76035
26	685	75432
27	704	74808
28	724	74208
29	745	73810
30	765	73325
31	786	72978
32	812	73023
33	861	75148
34	884	74894
35	904	74500
36	924	74016
37	944	73616
38	961	72984
39	981	72601
40	999	72160
41	1021	71921
42	1044	71829
43	1063	71472
44	1083	71127
45	1102	70812
46	1119	70356
47	1140	70139
48	1160	69879
49	1181	69689
50	1200	69427
51	1215	68891
52	1234	68665
53	1251	68286
54	1271	68092
55	1292	67932
56	1312	67762
57	1330	67483
58	1351	67348
59	1371	67222
60	1389	66940
61	1410	66825
62	1438	67048
63	1482	68023
64	1505	67975
65	1526	67849
66	1544	67631
67	1565	67479
68	1585	67363
69	1606	67223
70	1621	66884
71	1640	66723
72	1661	66620
73	1680	66463
74	1702	66380
75	1718	66116
76	1734	65847
77	1751	65612
78	1771	65484
79	1791	65374
80	1813	65353
81	1835	65302
82	1854	65191
83	1872	64987
84	1892	64896
85	1912	64804
86	1933	64729
87	1954	64667
88	1974	64570
89	1993	64465
90	2013	64366
91	2037	64393
92	2059	64367
93	2087	64546
94	2120	64830
95	2151	65093
96	2171	64980
97	2192	64919
98	2213	64859
99	2231	64701
100	2251	64616
101	2269	64491
102	2289	64396
103	2309	64302
104	2329	64216
105	2345	64050
106	2365	63951
107	2385	63873
108	2406	63827
109	2427	63770
110	2447	63695
111	2466	63602
112	2486	63519
113	2506	63453
114	2524	63327
115	2544	63249
116	2562	63154
117	2582	63074
118	2602	63001
119	2622	62947
120	2642	62884
121	2666	62897
122	2684	62802
123	2714	62964
124	2746	63158
125	2766	63110
126	2797	63283
127	2817	63217
128	2838	63169
129	2857	63090
130	2875	62965
131	2894	62896
132	2914	62832
133	2935	62777
134	2955	62731
135	2976	62679
136	2992	62538
137	3014	62516
138	3032	62409
139	3051	62339
140	3068	62213
141	3085	62106
142	3107	62088
143	3128	62043
144	3148	61989
145	3168	61939
146	3189	61896
147	3210	61872
148	3228	61766
149	3247	61710
150	3268	61666
151	3292	61686
152	3332	62019
153	3366	62205
154	3385	62146
155	3405	62085
156	3425	62030
157	3444	61960
158	3465	61914
159	3484	61857
160	3503	61782
161	3522	61708
162	3544	61690
163	3559	61561
164	3576	61455
165	3593	61350
166	3611	61259
167	3630	61205
168	3649	61129
169	3666	61035
170	3685	60971
171	3705	60922
172	3724	60869
173	3745	60828
174	3759	60688
175	3778	60634
176	3800	60616
177	3821	60578
178	3840	60524
179	3859	60472
180	3880	60430
181	3902	60426
182	3944	60719
183	3976	60855
184	3994	60786
185	4014	60743
186	4031	60649
187	4051	60597
188	4071	60549
189	4091	60512
190	4105	60380
191	4126	60346
192	4146	60307
193	4167	60279
194	4187	60237
195	4208	60207
196	4243	60383
197	4286	60656
198	4318	60783
199	4359	61028
200	4408	61394
201	4438	61483
202	4458	61428
203	4478	61377
204	4496	61307
205	4516	61252
206	4536	61215
207	4556	61161
208	4574	61088
209	4594	61044
210	4614	61000
211	4636	60977
212	4658	60953
213	4676	60887
214	4707	60976
215	4735	61041
216	4766	61128
217	4787	61098
218	4809	61072
219	4829	61026
220	4846	60938
221	4866	60898
222	4887	60860
223	4904	60777
224	4923	60725
225	4944	60687
226	4963	60638
227	4982	60580
228	5002	60527
229	5022	60484
230	5042	60442
231	5062	60405
232	5083	60373
233	5101	60297
234	5123	60280
235	5142	60225
236	5163	60192
237	5180	60119
238	5198	60049
239	5215	59982
240	5236	59943
241	5256	59909
242	5276	59870
243	5317	60057
244	5350	60163
245	5369	60111
246	5388	60058
247	5406	59989
248	5426	59948
249	5446	59909
250	5465	59860
251	5485	59815
252	5503	59756
253	5525	59730
254	5543	59670
255	5561	59615
256	5583	59594
257	5605	59573
258	5647	59763
259	5686	59922
260	5735	60194
261	5757	60162
262	5775	60103
263	5794	60055
264	5816	60032
265	5836	59985
266	5856	59946
267	5879	59937
268	5897	59877
269	5917	59836
270	5947	59895
271	6027	60451
272	6099	60927
273	6169	61380
274	6244	61882
275	6309	62271
276	6374	62659
277	6415	62814
278	6477	63170
279	6528	63423
280	6593	63798
281	6645	64046
282	6708	64409
283	6762	64667
284	6794	64726
285	6816	64681
286	6836	64620
287	6856	64563
288	6876	64507
289	6898	64469
290	6917	64397
291	6937	64335
292	6955	64263
293	6976	64209
294	7004	64229
295	7025	64179
296	7045	64124
297	7065	64062
298	7094	64092
299	7117	64060
300	7137	64000
301	7158	63950
302	7190	64000
303	7233	64148
304	7253	64093
305	7274	64045
306	7295	63992
307	7312	63910
308	7331	63851
309	7352	63798
310	7372	63743
311	7389	63663
312	7411	63626
313	7430	63561
314	7447	63482
315	7467	63428
316	7484	63349
317	7505	63301
318	7533	63313
319	7553	63260
320	7583	63289
321	7600	63207
322	7620	63158
323	7640	63102
324	7660	63053
325	7679	62989
326	7698	62933
327	7716	62862
328	7736	62808
329	7756	62759
330	7783	62763
331	7802	62698
332	7835	62752
333	7872	62835
334	7895	62808
335	7915	62758
336	7932	62682
337	7953	62637
338	7970	62568
339	7990	62513
340	8010	62461
341	8034	62443
342	8061	62446
343	8092	62482
344	8110	62418
345	8130	62363
346	8150	62311
347	8170	62261
348	8191	62222
349	8210	62168
350	8230	62117
351	8247	62042
352	8261	61950
353	8280	61895
354	8300	61845
355	8321	61804
356	8342	61762
357	8363	61720
358	8383	61675
359	8403	61627
360	8423	61576
361	8444	61534
362	8486	61648
363	8516	61677
364	8533	61608
